# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Thu Mar  5 18:00:22 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: HST/ACS WFC - updated filters and zeropoints, 2021
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.00012351 -2.10000 9.70000 0.6006208658 2.3215416132    0.600 -0.709  3.7213  4.762    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.32e-14      0.00 7.704e-01 2.295e-01 2.173e-05 5.867e-06 5.323e-05 -1.000 1.155e-04 6.542 7.456 7.181 6.795 6.543 6.350 5.920 5.865
0.00012351 -2.10000 9.70000 0.6260222793 2.3379188371    0.626 -0.617  3.7336  4.738    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -1.64e-14      0.00 7.741e-01 2.258e-01 2.143e-05 5.786e-06 5.250e-05 -1.000 9.638e-05 6.314 7.153 6.900 6.538 6.301 6.118 5.710 5.658
0.00012351 -2.10000 9.70000 0.6499999762 2.3520353107    0.650 -0.533  3.7450  4.716    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1    -2e-14      0.00 7.779e-01 2.219e-01 2.111e-05 5.700e-06 5.173e-05 -1.000 1.116e-04 6.102 6.879 6.646 6.305 6.082 5.907 5.518 5.470
0.00012351 -2.10000 9.70000 0.6712647676 2.3635891285    0.671 -0.458  3.7553  4.696    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1  -2.4e-14      0.00 7.823e-01 2.176e-01 2.075e-05 5.604e-06 5.087e-05 -1.000 9.996e-05 5.914 6.639 6.424 6.101 5.891 5.724 5.354 5.309
0.00012351 -2.10000 9.70000 0.6991025805 2.3774993957    0.699 -0.361  3.7682  4.668    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -3.03e-14      0.00 7.888e-01 2.111e-01 2.022e-05 5.461e-06 4.958e-05 -1.000 1.148e-04 5.672 6.339 6.144 5.845 5.649 5.492 5.144 5.103
0.00012351 -2.10000 9.70000 0.6999999881 2.3779266974    0.700 -0.358  3.7687  4.667    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -3.05e-14      0.00 7.890e-01 2.109e-01 2.020e-05 5.456e-06 4.954e-05 -1.000 1.162e-04 5.664 6.329 6.135 5.836 5.642 5.485 5.137 5.096
0.00012351 -2.10000 9.70000 0.7097135186 2.3824723991    0.710 -0.324  3.7730  4.657    1  0.000  0.542     0.00     0.00     0.00     0.00     0.00 -1 -3.31e-14      0.00 7.923e-01 2.076e-01 1.988e-05 5.383e-06 4.890e-05 -1.000 1.268e-04 5.581 6.229 6.041 5.750 5.559 5.406 5.065 5.025
0.00012351 -2.10000 9.70000 0.7294800878 2.3912942444    0.729 -0.257  3.7815  4.636    1  0.000  0.539     0.00     0.00     0.00     0.00     0.00 -1 -3.91e-14      0.00 7.996e-01 2.002e-01 1.917e-05 5.220e-06 4.746e-05 -1.000 1.136e-04 5.412 6.027 5.851 5.574 5.393 5.246 4.918 4.880
0.00012351 -2.10000 9.70000 0.7479705811 2.3990630345    0.748 -0.194  3.7892  4.614    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.58e-14      0.00 8.074e-01 1.925e-01 1.846e-05 5.050e-06 4.596e-05 -1.000 1.012e-04 5.254 5.840 5.675 5.411 5.239 5.097 4.782 4.747
0.00012351 -2.10000 9.70000 0.7500000000 2.3998889087    0.750 -0.187  3.7900  4.612    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.66e-14      0.00 8.083e-01 1.916e-01 1.837e-05 5.030e-06 4.578e-05 -1.000 9.999e-05 5.237 5.819 5.655 5.393 5.222 5.081 4.767 4.732
0.00012351 -2.10000 9.70000 0.7532162666 2.4011872949    0.753 -0.176  3.7913  4.608    1  0.000  0.535     0.00     0.00     0.00     0.00     0.00 -1 -4.79e-14      0.00 8.088e-01 1.911e-01 1.835e-05 5.023e-06 4.573e-05 -1.000 1.007e-04 5.209 5.788 5.625 5.365 5.195 5.055 4.744 4.709
